,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93
DL2_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL2_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,16,169,464,41,66,79,7,0,219,480,82,46,71,57,43,206,89,11,20,35,7,37,15,30,3,0,46,82,12,1,21,51,83,83,16,11,46,46,5,0,1,15,4,3,27,0,1,0,2,0,3,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL2_22,101,22,40,3,1,0,1,0,3,3,0,0,0,0,2,16,10,2,0,5,2,5,6,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,7,30,3,4,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DryFork2_20,NA,NA,NA,NA,NA,NA,NA,33,68,4,0,0,4,21,7,3,5,20,46,19,186,176,204,5,28,0,45,187,17,76,14,67,94,102,161,150,80,100,3,65,33,61,3,5,33,2,9,7,2,5,8,191,19,3,1,1,7,0,0,0,0,3,1,0,0,5,8,2,0,7,14,13,9,6,3,15,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DryFork2_21,1,3,1,29,1,0,17,0,1,0,44,0,5,45,0,8,12,0,5,5,29,46,120,51,230,153,18,23,89,128,82,12,2,53,29,21,3,0,1,37,21,8,27,8,15,58,31,1,0,52,18,6,2,2,41,4,2,6,13,0,10,0,0,0,2,0,1,9,1,2,9,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DryFork2_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,63,0,0,0,0,0,0,0,1,1,0,39,65,36,10,10,50,23,11,23,14,56,15,63,74,95,54,18,13,0,10,1,5,0,0,0,1,0,0,0,4,0,7,22,5,1,0,3,39,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,36,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fire1_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,0,0,2,3,3,1,5,1,2,4,17,18,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fire1_21,1,10,155,179,110,3,44,35,3,38,14,14,12,76,19,41,39,8,0,102,20,28,6,9,8,23,25,52,25,19,12,46,55,7,28,34,7,10,49,20,7,15,4,18,5,1,20,24,15,27,73,6,29,19,62,24,72,11,2,19,38,9,27,6,40,19,27,11,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fire1_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fire3_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
