site,cones,live.basal.area,total.standing.basal.area,mean_live_dbh,prop_infected,mean_rust_severity,prop_high_br,dougfir
Scenic2_22,98,5.432520556,7.473534763,6.888888889,0.833333333,5.5,0.333333333,0
Siyeh1_20,16,4.869547153,0.260830726,5.947368421,0.157894737,0.315789474,0,0
Siyeh1_21,29,4.869547153,0.260830726,5.947368421,0.157894737,0.315789474,0,0
Siyeh1_22,40,4.869547153,0.260830726,5.947368421,0.157894737,0.315789474,0,0
Siyeh2_20,10,1.389290811,0.191951308,4.826086957,0.130434783,0.434782609,0,0
Siyeh2_21,48,1.389290811,0.191951308,4.826086957,0.130434783,0.434782609,0,0
Siyeh2_22,12,1.389290811,0.191951308,4.826086957,0.130434783,0.434782609,0,0
Siyeh3_20,27,15.83370551,14.04661053,36.09090909,0.727272727,7.727272727,0.545454545,0
Siyeh3_21,50,15.83370551,14.04661053,36.09090909,0.727272727,7.727272727,0.545454545,0
Siyeh3_22,6,15.83370551,14.04661053,36.09090909,0.727272727,7.727272727,0.545454545,0
Siyeh4_20,2,0.331830724,0.045003313,4.266666667,0.666666667,3.666666667,0.133333333,0
Siyeh4_21,5,0.331830724,0.045003313,4.266666667,0.666666667,3.666666667,0.133333333,0
Siyeh4_22,0,0.331830724,0.045003313,4.266666667,0.666666667,3.666666667,0.133333333,0
