site,v1,v2,v3,site.group.ind,date.v1,date.v2,date.v3,wind.v1,wind.v2,wind.v3
Scenic2_21,0,0,NA,9,8/12/2021,9/15/2021,NA,2,7,NA
Scenic2_22,0,0,0,9,8/3/2022,9/2/2022,10/6/2022,5,2,2
Siyeh1_20,0,0,NA,10,8/6/2020,9/4/2020,NA,0,0,NA
Siyeh1_21,0,0,NA,10,8/10/2021,9/13/2021,NA,7,1,NA
Siyeh1_22,0,0,0,10,7/19/2022,8/27/2022,10/5/2022,2,5,1
Siyeh2_20,0,0,NA,10,8/6/2020,9/4/2020,NA,2,1,NA
Siyeh2_21,0,0,NA,10,8/10/2021,9/13/2021,NA,4,3,NA
Siyeh2_22,0,0,0,10,7/19/2022,8/27/2022,10/5/2022,3,5,1
Siyeh3_20,0,1,NA,10,8/6/2020,9/4/2020,NA,0,1,NA
Siyeh3_21,0,2,NA,10,8/10/2021,9/13/2021,NA,3,1,NA
Siyeh3_22,0,1,0,10,7/19/2022,8/27/2022,10/5/2022,2,4,1
Siyeh4_20,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
Siyeh4_21,0,0,NA,10,8/10/2021,9/13/2021,NA,3,2,NA
Siyeh4_22,0,0,0,10,7/19/2022,8/27/2022,10/5/2022,1,4,1
